Tiempo [s],h1_Real,h2_Real,h3_Real,h4_Real,h1_Ref,h2_Ref,h3_Ref,h4_Ref,v1_Control,v2_Control
0,12.311304933480715,12.640468082606255,1.7483329746899643,1.3659116471743342,12.0,16.0,2.59706907632719,0.978042187132046,1.880057625104507,2.04628501049393
1,12.228656866358659,12.670848749271961,1.7665791444185368,1.3349332609317637,12.0,16.0,2.59706907632719,0.978042187132046,1.9445186064972326,3.492641130522606
2,12.155187630631223,12.739408617004615,1.8137107766236842,1.3074063706751744,12.0,16.0,2.59706907632719,0.978042187132046,2.0231049234995897,4.125088540577067
3,12.064978829603184,12.80322042541647,1.8567121967104439,1.2734648935623314,12.0,16.0,2.59706907632719,0.978042187132046,1.7836148981839728,4.078054516572586
4,12.018696966783033,12.883755263139983,1.9117271870735109,1.255725253532464,12.0,16.0,2.59706907632719,0.978042187132046,2.2737681425594682,4.371277954214054
5,12.014771675829442,12.97376735896997,1.9725939294921604,1.2531894548225857,12.0,16.0,2.59706907632719,0.978042187132046,2.749418908568215,4.5427179637515485
6,11.97242632686993,13.070504041838621,2.037129919539708,1.2355233547949955,12.0,16.0,2.59706907632719,0.978042187132046,2.2532889185846754,4.671768475427397
7,11.951418354433486,13.140878259998948,2.0805257509081474,1.2253625855537758,12.0,16.0,2.59706907632719,0.978042187132046,2.477922954182267,4.274421091241344
8,11.914702820424557,13.18659184723126,2.104659100897032,1.2091147012588261,12.0,16.0,2.59706907632719,0.978042187132046,2.267833079696597,3.8993813434955236
9,11.863762910064782,13.227053651347964,2.1248076581169597,1.1876219679787463,12.0,16.0,2.59706907632719,0.978042187132046,2.078109090071131,3.8340210800918237
10,11.84437974965916,13.262573746084087,2.141227397849529,1.1780445615773796,12.0,16.0,2.59706907632719,0.978042187132046,2.441838238019468,3.7708191459596616
11,11.815647589785122,13.327038763544266,2.179381078958426,1.1648352518986973,12.0,16.0,2.59706907632719,0.978042187132046,2.312216118061954,4.246861518665212
12,11.779930110235295,13.40179434150769,2.2247678324483635,1.1487489355238278,12.0,16.0,2.59706907632719,0.978042187132046,2.202891378618295,4.431201638504078
13,11.76262988054715,13.459759656467947,2.256806021159895,1.1393285951099243,12.0,16.0,2.59706907632719,0.978042187132046,2.4014178387658784,4.182729436453424
14,11.764978228532655,13.506032446608838,2.2795034868475286,1.137062348364028,12.0,16.0,2.59706907632719,0.978042187132046,2.62369344194133,4.008919508358791
15,11.76029349575616,13.545946722538625,2.297063950229786,1.132006729863514,12.0,16.0,2.59706907632719,0.978042187132046,2.529993789695183,3.9172172631354423
16,11.719145319659438,13.61660548948791,2.33775987851404,1.113176065438884,12.0,16.0,2.59706907632719,0.978042187132046,2.0744861448140983,4.423214436036321
17,11.677240064493684,13.651758272766784,2.3513776178094066,1.0941409224580958,12.0,16.0,2.59706907632719,0.978042187132046,2.0452573305871034,3.8782201542511685
18,11.682317447686989,13.678651705863325,2.3588582822236446,1.092846928498305,12.0,16.0,2.59706907632719,0.978042187132046,2.6013625743066586,3.75804477535917
19,11.649487079318167,13.726275406767614,2.3821166288250746,1.077359229690035,12.0,16.0,2.59706907632719,0.978042187132046,2.1364901811551773,4.099494169409651
20,11.653115282990962,13.759325579260677,2.3942046800439067,1.0755396743923755,12.0,16.0,2.59706907632719,0.978042187132046,2.563847722679072,3.879506625457819
21,11.674708574486923,13.786927626370401,2.401983368156867,1.080342500099033,12.0,16.0,2.59706907632719,0.978042187132046,2.777817228357463,3.7969858830175847
22,11.654651170472615,13.809321941523605,2.405873937500627,1.0695671216660763,12.0,16.0,2.59706907632719,0.978042187132046,2.2751161827915616,3.7201516304077615
23,11.65296657729002,13.8227086317012,2.4032333670103867,1.0658812175056678,12.0,16.0,2.59706907632719,0.978042187132046,2.4934085676457864,3.584138189655791
24,11.659736294158936,13.83815135532858,2.402397644142328,1.0654825358827065,12.0,16.0,2.59706907632719,0.978042187132046,2.596219328519764,3.620539994759717
25,11.65995205332781,13.859895723881575,2.40650054843731,1.062686489124984,12.0,16.0,2.59706907632719,0.978042187132046,2.5174612478228156,3.7249828306156236
26,11.663105535309523,13.875916571775171,2.406387634185189,1.061060124664272,12.0,16.0,2.59706907632719,0.978042187132046,2.5522230606855847,3.6383910256593692
